home_office,deal_status,name,created,country,industry,custom_keywords,modified,fund,drive_url,company_name,key,drive_id,document_type,deal_team
Boston,Active,Subordinated Credit Agreement.pdf,2015-02-02T16:45:55.437440,U.S.,Consumer Products,"Infomercial,Direct Response TV,Direct Marketing,Consumer Products,Media",2019-02-22T08:09:19.571571,LBO,,"Thane International, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoImIrAsM,id:6386240895057920",,Executed Lender Docs,"Sami Mnaymneh,John Von Bargen,Arthur Heller,Caroline Kung,Strother Scott,Jesse Greenberg"
New York,Closed / Unrealized,SUMMIT CIM - H.I.G. RWBAIRD2015.pdf,2016-03-03T21:49:15.665080,U.S.,Manufacturing,,2019-02-22T08:08:27.640410,Middle Market,,Universal Fiber Systems,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoLPHgQoM,id:5636350879465472",,Intermediary CIM,"Tenno Tsai,Peter Gudwin,Vivek Jain,Chris Kozak"
New York,Closed / Unrealized,SUMMIT MP - H.I.G. RWBAIRD2015.pdf,2016-03-03T21:49:26.382300,U.S.,Manufacturing,,2019-02-22T08:08:42.763556,Middle Market,,Universal Fiber Systems,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwKimmwoM,id:5749563331706880",,Lender/Management Presentation,"Tenno Tsai,Peter Gudwin,Vivek Jain,Chris Kozak"
Miami,Closed / Unrealized,Sunshine Media - True North Overview 10-27-06.pdf,2014-06-02T15:43:53.794340,U.S.,Media,"Printing,Magazine,Advertising,Trade,Journal",2019-02-22T08:09:23.776434,LBO,,Sunshine Media,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgN6QwQsM,id:6478897499602944",,Lender/Management Presentation,"Charles Hanemann,Brett Kenefick,Graham Schena,Jeff Zanarini,Brian McMullen"
Miami,Closed / Realized,Surface Mount Taping Corp-LOI.pdf,2015-02-02T16:56:30.582550,U.S.,Technology,,2019-02-22T08:07:29.087473,LBO,,On Q Technologies,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMzMlggM,id:4602988526043136",,Executed Legal Docs,John Black
New York,Active,Surgery Partners Partner Presentation FINAL.pdf,2014-05-27T16:44:44.810010,U.S.,Healthcare,"ASC,Provider,Facility,Physician,Surgical",2019-02-22T08:07:51.023830,Middle Market,,Surgery Partners,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-c8QgM,id:5001553572265984",,Investment Committee Decks (Internal),"Chris Laitala,Matt Lozow,Adam Cole"
San Francisco,Closed / Unrealized,SWEC - Two-Pager.pdf,2017-11-13T20:28:26.657590,U.S.,Healthcare,"ophthalmology,optometry,healthcare,ASC,physician",2019-02-22T08:08:55.987014,LBO,,Barnet Dulaney Perkins,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLrG0QoM,id:5988162052554752",,Investment Committee Decks (Internal),"Rob Wolfson,Kevin Van Culin,Andrey Vakhovskiy,Eric Nusbaum,Zachary L. O'Connor,Vaibhav Narayanam"
San Francisco,Closed / Unrealized,SWEC Presentation (Lender Final).pdf,2017-11-13T20:28:42.259440,U.S.,Healthcare,"ophthalmology,optometry,healthcare,ASC,physician",2019-02-22T08:07:55.315849,LBO,,Barnet Dulaney Perkins,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMi0hQkM,id:5090345981313024",,Lender/Management Presentation,"Rob Wolfson,Kevin Van Culin,Andrey Vakhovskiy,Eric Nusbaum,Zachary L. O'Connor,Vaibhav Narayanam"
London,Closed / Realized,Synseal Early.pdf,2014-05-27T14:26:05.004400,U.K.,Building Products,"Windows,Doors,PVC,Extrusion,Building",2019-02-22T08:07:44.297896,Europe,,Synseal,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoKiH1AgM,id:4873286856998912",,Investment Committee Decks (Internal),"Paul Canning,Alastair Mills"
London,Closed / Realized,Synseal Early.pdf,2014-05-15T18:16:03.671560,U.K.,Building Products,"Windows,Doors,PVC,Extrusion,Building",2019-02-22T08:07:28.176397,Europe,,Synseal,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLnHjQgM,id:4563229074259968",,Investment Committee Decks (Internal),"Paul Canning,Alastair Mills"
London,Closed / Realized,Synseal Final.pdf,2014-05-27T14:26:16.850740,U.K.,Building Products,"Windows,Doors,PVC,Extrusion,Building",2019-02-22T08:08:46.347406,Europe,,Synseal,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-GqAoM,id:5805640169553920",,Investment Committee Decks (Internal),"Paul Canning,Alastair Mills"
London,Closed / Realized,Synseal Final.pdf,2014-05-15T18:16:14.090400,U.K.,Building Products,"Windows,Doors,PVC,Extrusion,Building",2019-02-22T08:08:29.777631,Europe,,Synseal,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK_1hAoM,id:5651124426113024",,Investment Committee Decks (Internal),"Paul Canning,Alastair Mills"
Miami,Nearly Completed Deal,Targus Presentation_May 2011_vFINAL_4.pdf,2014-05-28T14:24:46.392080,U.S.,Consumer Products,"Laptop,Tablet,Case,Computer,Cover",2019-02-22T08:09:01.661102,Bayside,,Targus,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4OLy5woM,id:6086441843032064",,Investment Committee Decks (Internal),"Adam schimel,Seth Goldberg"
San Francisco,Closed / Unrealized,Tastes on the Fly - Discussion Materials.pdf,2017-11-13T20:33:47.332620,U.S.,Food - Beverage,"Tastes on the Fly,Food & Beverage,Restaurants,Airports,TOTF",2019-02-22T08:08:00.464543,LBO,,"Tastes on the Fly, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4KHpkwkM,id:5153729296728064",,Investment Committee Decks (Internal),"Elliot Maluth,Jeff Bohl,Amanda Kalin,Michael Kuritzky,Buck Marshall,Luke Torres"
